url_vecchio,tipo,titolo,data_pubblicazione,esito_oggi,dove_atterra_oggi
https://www.elbrenz.eu/2013/09/17/,archivio-data,,2013-09,200,/archivio-storico
https://www.elbrenz.eu/2013/09/18/,archivio-data,,2013-09,200,/archivio-storico
https://www.elbrenz.eu/2013/09/19/,archivio-data,,2013-09,200,/archivio-storico
https://www.elbrenz.eu/2013/09/22/,archivio-data,,2013-09,200,/archivio-storico
https://www.elbrenz.eu/2013/09/23/,archivio-data,,2013-09,200,/archivio-storico
https://www.elbrenz.eu/2013/09/27/,archivio-data,,2013-09,200,/archivio-storico
https://www.elbrenz.eu/2013/09/28/,archivio-data,,2013-09,200,/archivio-storico
https://www.elbrenz.eu/2013/10/07/,archivio-data,,2013-10,200,/archivio-storico
https://www.elbrenz.eu/2013/10/16/,archivio-data,,2013-10,200,/archivio-storico
https://www.elbrenz.eu/2013/12/22/,archivio-data,,2013-12,200,/archivio-storico
https://www.elbrenz.eu/2014/03/07/,archivio-data,,2014-03,200,/archivio-storico
https://www.elbrenz.eu/2014/03/15/,archivio-data,,2014-03,200,/archivio-storico
https://www.elbrenz.eu/2014/03/29/,archivio-data,,2014-03,200,/archivio-storico
https://www.elbrenz.eu/2014/08/13/,archivio-data,,2014-08,200,/archivio-storico
https://www.elbrenz.eu/2014/11/17/,archivio-data,,2014-11,200,/archivio-storico
https://www.elbrenz.eu/2015/06/14/,archivio-data,,2015-06,200,/archivio-storico
https://www.elbrenz.eu/2015/08/07/,archivio-data,,2015-08,200,/archivio-storico
https://www.elbrenz.eu/2015/08/08/,archivio-data,,2015-08,200,/archivio-storico
https://www.elbrenz.eu/2015/11/09/,archivio-data,,2015-11,200,/archivio-storico
https://www.elbrenz.eu/2017/04/15/,archivio-data,,2017-04,200,/archivio-storico
https://www.elbrenz.eu/2017/04/24/,archivio-data,,2017-04,200,/archivio-storico
https://www.elbrenz.eu/2017/08/06/,archivio-data,,2017-08,200,/archivio-storico
https://www.elbrenz.eu/2017/08/13/,archivio-data,,2017-08,200,/archivio-storico
https://www.elbrenz.eu/2017/11/09/,archivio-data,,2017-11,200,/archivio-storico
https://www.elbrenz.eu/2018/03/13/,archivio-data,,2018-03,200,/archivio-storico
https://www.elbrenz.eu/2018/06/11/,archivio-data,,2018-06,200,/archivio-storico
https://www.elbrenz.eu/2018/07/29/,archivio-data,,2018-07,200,/archivio-storico
https://www.elbrenz.eu/2018/08/09/,archivio-data,,2018-08,200,/archivio-storico
https://www.elbrenz.eu/2018/09/23/,archivio-data,,2018-09,200,/archivio-storico
https://www.elbrenz.eu/2019/05/01/,archivio-data,,2019-05,200,/archivio-storico
https://www.elbrenz.eu/2019/11/25/,archivio-data,,2019-11,200,/archivio-storico
https://www.elbrenz.eu/2021/11/,archivio-data,,,200,/archivio-storico
https://www.elbrenz.eu/2021/11/10/,archivio-data,,2021-11,200,/archivio-storico
https://www.elbrenz.eu/2021/12/,archivio-data,,,200,/archivio-storico
